"year","unemployment","labor_force_participation","urbanization","internet_penetration","energy_consumption","fdi_inflows"
1964,0.596,32.359,23.4605166957003,0,370.756577158868,0.229369018449875
1965,0.596,32.359,23.6966008113708,0,370.756577158868,0.229369018449875
1966,0.596,32.359,23.921810715236,0,370.756577158868,0.229369018449875
1967,0.596,32.359,24.1415240717555,0,370.756577158868,0.229369018449875
1968,0.596,32.359,24.3611185453889,0,370.756577158868,0.229369018449875
1969,0.596,32.359,24.5859718005957,0,370.756577158868,0.229369018449875
1970,0.596,32.359,24.8214615018356,0,370.756577158868,0.229369018449875
1971,0.596,32.359,25.0729653135682,0,370.756577158868,0.00937567679313264
1972,0.596,29.957,25.3460347123231,0,370.756577158868,0.180562617745505
1973,0.596,29.957,25.6467662768333,0,370.756577158868,-0.0626622414508386
1974,0.596,29.957,25.9764034338718,0,370.756577158868,0.0449479012962248
1975,0.596,29.957,26.3266097503112,0,370.756577158868,0.222605973934864
1976,0.596,49.302,26.6890303879083,0,370.756577158868,0.0624277014069093
1977,0.596,49.301,27.0553105084198,0,370.756577158868,0.100642225435154
1978,0.596,49.301,27.4170952736025,0,370.756577158868,0.181192853254975
1979,0.596,49.299,27.7660298452131,0,370.756577158868,0.29588069717029
1980,0.596,49.298,28.0937593850085,0,370.756577158868,0.269010726210538
1981,0.596,51.19,28.3941608544266,0,370.756577158868,0.384634937305679
1982,0.596,51.199,28.6799902302499,0,370.756577158868,0.207749628001959
1983,0.596,49.718,28.9594375727595,0,370.756577158868,0.102666735817458
1984,0.596,49.71,29.2322435401049,0,370.756577158868,0.1781923494967
1985,0.596,49.452,29.498826604215,0,370.756577158868,0.421864139271513
1986,0.596,48.887,29.7596052370187,0,370.756577158868,0.33145270892202
1987,0.596,48.887,30.014997910445,0,370.756577158868,0.387921173050002
1988,0.596,49.34,30.2654230964229,0,370.756577158868,0.484736838916137
1989,0.596,32.2,30.5112992668812,0,370.756577158868,0.524257200329788
1990,0.596,49.345,30.753044893749,0,370.756577158868,0.612997661913938
1991,0.596,49.684,30.9910784489553,0,367.121771650235,0.566383737278731
1992,0.587,49.684,31.2258184044289,0,379.579213707596,0.688313624140135
1993,0.596,49.196,31.4576832320988,0,387.504827835984,0.672760011900901
1994,0.601,49.148,31.6870914038941,0,392.525740918468,0.805118941060125
1995,0.611,48.361,31.9144613917436,0.000123,397.682408796608,1.19175194004056
1996,0.6,48.361,32.1402116675762,0.00299,403.99573108234,1.45605449462756
1997,0.611,50.123,32.3647607033211,0.0275,402.965782669408,1.14722858022912
1998,0.62,49.95,32.5871723893723,0.0439,399.272943328572,0.813610045502484
1999,0.625,49.95,32.8015812487933,0.0554,410.681455271548,0.84479500663461
2000,0.614,50.407,33.0046884491535,0.0554,411.549930374513,0.309595026317044
2001,0.611,50.407,33.1988471664032,1.31855077925626,407.99646563704,0.38910658649849
2002,0.615,50.455,33.3857078542752,2.57742673683831,404.334238651861,0.843517300073237
2003,0.612,50.455,33.5669209665019,5.04115812592502,412.836751547714,0.475207711805665
2004,0.598,50.732,33.7441369568158,6.16432098534156,431.672759795812,0.845585701616171
2005,0.583,46.56,33.9190062789495,6.332300186,436.061866708612,1.51575083116461
2006,0.582,50.032,34.0931793866356,6.5,443.903367754097,2.63975006245443
2007,0.398,50.045,34.2683067336065,6.800000191,457.205362427423,3.03571933817685
2008,0.423,50.084,34.4460387735948,7,437.835189001934,2.68936656124595
2009,0.535,50.535,34.6280259603331,7.5,433.272314472197,1.24801305527951
2010,0.653,50.997,34.8159187475539,8,429.327792495327,1.02791108080423
2011,0.796,50.775,35.0113675889897,8,422.842537376111,0.575055145839944
2012,3.667,48.627,35.2160229383731,8.100000381,419.546153206932,0.343453048660945
2013,2.954,51.45,35.4315352494366,9,421.580013785875,0.515353849332245
2014,1.827,50.997,35.6595549759128,10,433.449973838963,0.695308116834202
2015,3.566,52.026,35.9017325715342,11,437.198223010365,0.557734356032139
2016,2.285,48.929,36.1597184900333,12.385446763381,446.915365965869,0.821349998064174
2017,3.204,48.929,36.4351548223399,13.77999973,456.107326373589,0.735837049658425
2018,4.083,50.993,36.7478511550359,15.34000015,453.603126548778,0.487745750658143
2019,4.83,51.597,37.1091631735769,17.070901719916,431.604754942186,0.696146480411465
2020,5.994,46.637,37.5080192948099,18.935,454.338436216576,0.684695289874347
2021,6.338,52.73,37.9333395514173,18.935,465.115862856144,0.616039439073827
2022,5.291,52.73,38.3740439760816,18.935,418.447652844549,0.389980753542853
2023,5.237,52.73,38.8191861872791,18.935,414.952130205765,0.608281270820624
2024,5.492,52.73,39.1734368360905,57.253,414.952130205765,0.7166886452434
